2025-04-14 17:59:32.157 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-04-14 17:59:32.173 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-04-14 18:00:32.012 [main] INFO  com.asa.TestAutoGenerator - Starting TestAutoGenerator using Java 1.8.0_211 on XTZJ-20240328PW with PID 19128 (started by Administrator in I:\asa\backend)
2025-04-14 18:00:32.015 [main] INFO  com.asa.TestAutoGenerator - The following 1 profile is active: "dev"
2025-04-14 18:00:32.027 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-04-14 18:00:39.157 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2025-04-14 18:00:40.307 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2025-04-14 18:00:41.128 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2025-04-14 18:00:41.223 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2025-04-14 18:00:41.311 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2025-04-14 18:00:41.728 [main] INFO  com.asa.TestAutoGenerator - Started TestAutoGenerator in 10.642 seconds (JVM running for 12.794)
2025-04-14 18:02:51.644 [main] INFO  com.asa.TestAutoGenerator - Starting TestAutoGenerator using Java 1.8.0_211 on XTZJ-20240328PW with PID 19828 (started by Administrator in I:\asa\backend)
2025-04-14 18:02:51.648 [main] INFO  com.asa.TestAutoGenerator - The following 1 profile is active: "dev"
2025-04-14 18:02:51.661 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-04-14 18:02:58.814 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2025-04-14 18:02:59.884 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2025-04-14 18:03:00.985 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2025-04-14 18:03:01.078 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2025-04-14 18:03:01.224 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2025-04-14 18:03:01.729 [main] INFO  com.asa.TestAutoGenerator - Started TestAutoGenerator in 11.426 seconds (JVM running for 13.697)
2025-04-14 18:03:49.831 [main] INFO  com.asa.TestAutoGenerator - Starting TestAutoGenerator using Java 1.8.0_211 on XTZJ-20240328PW with PID 3516 (started by Administrator in I:\asa\backend)
2025-04-14 18:03:49.835 [main] INFO  com.asa.TestAutoGenerator - The following 1 profile is active: "dev"
2025-04-14 18:03:49.856 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-04-14 18:04:00.774 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2025-04-14 18:04:01.678 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2025-04-14 18:04:02.692 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2025-04-14 18:04:02.742 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2025-04-14 18:04:02.821 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2025-04-14 18:04:04.171 [main] INFO  com.asa.TestAutoGenerator - Started TestAutoGenerator in 15.758 seconds (JVM running for 18.906)
2025-04-14 18:26:32.301 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-04-14 18:26:32.388 [restartedMain] INFO  com.asa.BackendApplication - Starting BackendApplication using Java 1.8.0_211 on XTZJ-20240328PW with PID 21208 (I:\asa\backend\target\classes started by Administrator in I:\asa\backend)
2025-04-14 18:26:32.422 [restartedMain] INFO  com.asa.BackendApplication - The following 1 profile is active: "dev"
2025-04-14 18:26:32.810 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-04-14 18:26:32.811 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-04-14 18:26:38.877 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2025-04-14 18:26:38.879 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.32] using APR version [1.7.0].
2025-04-14 18:26:38.879 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2025-04-14 18:26:38.879 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2025-04-14 18:26:39.016 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1n  15 Mar 2022]
2025-04-14 18:26:39.043 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2025-04-14 18:26:39.044 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-04-14 18:26:39.044 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
2025-04-14 18:26:39.183 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-04-14 18:26:39.184 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 6371 ms
2025-04-14 18:26:43.920 [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2025-04-14 18:26:44.341 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-04-14 18:26:44.409 [restartedMain] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2025-04-14 18:26:44.769 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2025-04-14 18:26:44.911 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2025-04-14 18:26:44.930 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2025-04-14 18:26:45.009 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2025-04-14 18:26:45.073 [restartedMain] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2025-04-14 18:26:45.491 [restartedMain] INFO  com.asa.BackendApplication - Started BackendApplication in 15.111 seconds (JVM running for 19.884)
2025-04-14 18:26:50.745 [http-nio-8888-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-04-14 18:26:50.746 [http-nio-8888-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
